APPNO,KPDATE
22429/07;25195/07,12/3/2019 12:00:00 AM
14704/12,12/3/2019 12:00:00 AM
76224/12,11/19/2019 12:00:00 AM
2705/05,10/29/2019 12:00:00 AM
16150/06,10/29/2019 12:00:00 AM
48171/10,10/29/2019 12:00:00 AM
36226/11,10/29/2019 12:00:00 AM
48642/07,10/22/2019 12:00:00 AM
4633/15,10/17/2019 12:00:00 AM
1399/07,10/15/2019 12:00:00 AM
44690/09,10/15/2019 12:00:00 AM
75460/10,9/17/2019 12:00:00 AM
19302/09;49089/12,9/17/2019 12:00:00 AM
68556/10,7/30/2019 12:00:00 AM
74845/12,7/30/2019 12:00:00 AM
8860/13,7/23/2019 12:00:00 AM
65808/10,7/16/2019 12:00:00 AM
22479/05,7/16/2019 12:00:00 AM
38176/08,7/9/2019 12:00:00 AM
8732/11,7/9/2019 12:00:00 AM
44982/07,7/2/2019 12:00:00 AM
18684/07;21101/07,6/25/2019 12:00:00 AM
54969/09,6/25/2019 12:00:00 AM
63034/11,6/25/2019 12:00:00 AM
47121/06;13988/07;34750/07,6/18/2019 12:00:00 AM
43140/08,6/18/2019 12:00:00 AM
36607/06,6/4/2019 12:00:00 AM
4536/06;53282/07,6/4/2019 12:00:00 AM
10814/07,5/7/2019 12:00:00 AM
21104/06;51103/06;18809/07,5/7/2019 12:00:00 AM
4529/06,4/30/2019 12:00:00 AM
12778/17,4/16/2019 12:00:00 AM
19965/06,4/16/2019 12:00:00 AM
11236/09,4/9/2019 12:00:00 AM
70472/12,4/9/2019 12:00:00 AM
37766/05,4/2/2019 12:00:00 AM
9580/03,3/26/2019 12:00:00 AM
25257/05,3/26/2019 12:00:00 AM
57031/10,3/19/2019 12:00:00 AM
18638/05,3/19/2019 12:00:00 AM
6372/05;52543/07,3/19/2019 12:00:00 AM
33675/04,3/19/2019 12:00:00 AM
52497/08;6741/12;7110/12;15056/12;15057/12;15058/12;15059/12,3/12/2019 12:00:00 AM
19620/05;41487/05;17613/08;19316/08,3/5/2019 12:00:00 AM
36366/06,3/5/2019 12:00:00 AM
38704/11,2/19/2019 12:00:00 AM
32093/10,2/19/2019 12:00:00 AM
51292/07,2/19/2019 12:00:00 AM
25253/08,2/19/2019 12:00:00 AM
33056/16,2/12/2019 12:00:00 AM
22388/07,2/12/2019 12:00:00 AM
59864/12,2/5/2019 12:00:00 AM
36925/07,1/29/2019 12:00:00 AM
43347/09,1/29/2019 12:00:00 AM
24973/15,1/29/2019 12:00:00 AM
72068/10,1/22/2019 12:00:00 AM
49092/12,1/15/2019 12:00:00 AM
18740/05;19507/05,1/15/2019 12:00:00 AM
55303/12,1/15/2019 12:00:00 AM
12541/06,1/15/2019 12:00:00 AM
15014/11,12/18/2018 12:00:00 AM
48532/11,12/11/2018 12:00:00 AM
61772/12,12/11/2018 12:00:00 AM
18308/10,12/11/2018 12:00:00 AM
53561/09;13952/11,11/27/2018 12:00:00 AM
42507/06,11/27/2018 12:00:00 AM
57837/09,11/27/2018 12:00:00 AM
32738/11,11/27/2018 12:00:00 AM
70934/10;6560/11;23599/12;39367/12;66687/12,11/20/2018 12:00:00 AM
14305/17,11/20/2018 12:00:00 AM
25707/05;28614/06,11/20/2018 12:00:00 AM
47933/09,11/20/2018 12:00:00 AM
62077/08,11/6/2018 12:00:00 AM
1759/08;50766/10;50782/10,10/30/2018 12:00:00 AM
22677/10,10/30/2018 12:00:00 AM
12055/17,10/23/2018 12:00:00 AM
38331/06,10/23/2018 12:00:00 AM
28009/10,10/23/2018 12:00:00 AM
43185/11,10/23/2018 12:00:00 AM
38740/09,10/23/2018 12:00:00 AM
40865/05,10/9/2018 12:00:00 AM
27607/11,10/9/2018 12:00:00 AM
61541/09,9/11/2018 12:00:00 AM
72781/12,9/4/2018 12:00:00 AM
28338/07,9/4/2018 12:00:00 AM
6810/09,9/4/2018 12:00:00 AM
51595/07,7/10/2018 12:00:00 AM
22963/08,7/10/2018 12:00:00 AM
46713/10,7/10/2018 12:00:00 AM
57316/10,7/10/2018 12:00:00 AM
20233/06,6/19/2018 12:00:00 AM
30733/08,6/19/2018 12:00:00 AM
25680/05,6/19/2018 12:00:00 AM
55833/09;55837/09;55838/09;55843/09,6/19/2018 12:00:00 AM
47081/06,6/12/2018 12:00:00 AM
53138/09,6/12/2018 12:00:00 AM
54558/11,6/5/2018 12:00:00 AM
16026/12,6/5/2018 12:00:00 AM
69929/12,6/5/2018 12:00:00 AM
64406/09,5/29/2018 12:00:00 AM
54915/09,5/29/2018 12:00:00 AM
1385/07,5/15/2018 12:00:00 AM
37869/08,5/15/2018 12:00:00 AM
45281/08,4/24/2018 12:00:00 AM
51511/08,4/24/2018 12:00:00 AM
56237/08,4/24/2018 12:00:00 AM
39407/03,4/17/2018 12:00:00 AM
48979/10,4/17/2018 12:00:00 AM
18356/11,4/10/2018 12:00:00 AM
10491/12,3/27/2018 12:00:00 AM
5839/09,3/27/2018 12:00:00 AM
15930/11,3/27/2018 12:00:00 AM
16538/17,3/20/2018 12:00:00 AM
13237/17,3/20/2018 12:00:00 AM
30569/09,3/20/2018 12:00:00 AM
10839/09,3/13/2018 12:00:00 AM
7851/05,3/13/2018 12:00:00 AM
53567/07,3/13/2018 12:00:00 AM
36475/10,2/27/2018 12:00:00 AM
52797/08,2/20/2018 12:00:00 AM
12261/06,2/13/2018 12:00:00 AM
8626/06,2/13/2018 12:00:00 AM
61949/08;38776/09;44565/09,2/13/2018 12:00:00 AM
65126/09,2/13/2018 12:00:00 AM
23065/12,1/30/2018 12:00:00 AM
15374/11,1/23/2018 12:00:00 AM
15185/05,1/23/2018 12:00:00 AM
60392/08,1/23/2018 12:00:00 AM
19620/12,1/23/2018 12:00:00 AM
6875/05,1/16/2018 12:00:00 AM
17843/11,1/16/2018 12:00:00 AM
67696/11,1/16/2018 12:00:00 AM
7942/05;24838/05,1/9/2018 12:00:00 AM
3534/06,1/9/2018 12:00:00 AM
12047/05,12/19/2017 12:00:00 AM
60087/10;12461/11;48219/11,12/19/2017 12:00:00 AM
50124/07;53082/07;53865/07;399/08;776/08;1931/08;2213/08;2953/08,12/12/2017 12:00:00 AM
53240/14,12/12/2017 12:00:00 AM
22729/08;10581/09,12/12/2017 12:00:00 AM
48657/06,11/28/2017 12:00:00 AM
1009/16,11/28/2017 12:00:00 AM
63903/10,11/21/2017 12:00:00 AM
2150/05,11/21/2017 12:00:00 AM
18538/05,11/21/2017 12:00:00 AM
33279/05,11/21/2017 12:00:00 AM
41485/05,11/21/2017 12:00:00 AM
35476/06;28530/06;43192/06;43194/06,11/21/2017 12:00:00 AM
41226/09,11/14/2017 12:00:00 AM
48756/11,11/14/2017 12:00:00 AM
13476/05,11/14/2017 12:00:00 AM
57818/10;57822/10;57825/10;57827/10;57829/10,10/24/2017 12:00:00 AM
24016/05,10/24/2017 12:00:00 AM
12305/09,10/17/2017 12:00:00 AM
19631/12,10/17/2017 12:00:00 AM
36785/03,10/17/2017 12:00:00 AM
15397/02,10/17/2017 12:00:00 AM
43868/06,10/10/2017 12:00:00 AM
37272/08,10/10/2017 12:00:00 AM
65815/10,10/10/2017 12:00:00 AM
6813/09,10/10/2017 12:00:00 AM
7469/06,9/19/2017 12:00:00 AM
28678/10,9/19/2017 12:00:00 AM
46820/09,9/12/2017 12:00:00 AM
22744/07,9/5/2017 12:00:00 AM
38907/09,9/5/2017 12:00:00 AM
46661/09,9/5/2017 12:00:00 AM
27473/06,7/18/2017 12:00:00 AM
48583/07;53717/07,7/18/2017 12:00:00 AM
8157/10,7/18/2017 12:00:00 AM
32219/05,6/27/2017 12:00:00 AM
30905/09,6/20/2017 12:00:00 AM
38305/07,6/13/2017 12:00:00 AM
81681/12,6/13/2017 12:00:00 AM
50772/11,6/6/2017 12:00:00 AM
9441/10,6/6/2017 12:00:00 AM
28691/05,5/23/2017 12:00:00 AM
23121/15,5/23/2017 12:00:00 AM
39322/12,5/23/2017 12:00:00 AM
10914/11,5/16/2017 12:00:00 AM
55949/11,5/2/2017 12:00:00 AM
35009/05,4/4/2017 12:00:00 AM
45028/07,3/28/2017 12:00:00 AM
24087/07,3/14/2017 12:00:00 AM
29994/02,3/7/2017 12:00:00 AM
34520/10;34733/10;34745/10,2/28/2017 12:00:00 AM
35285/08,2/7/2017 12:00:00 AM
19074/05,1/31/2017 12:00:00 AM
26754/12,1/24/2017 12:00:00 AM
582/05,1/24/2017 12:00:00 AM
24359/10,1/17/2017 12:00:00 AM
51861/11,12/13/2016 12:00:00 AM
26623/07,12/13/2016 12:00:00 AM
74155/14,12/6/2016 12:00:00 AM
55907/08,12/6/2016 12:00:00 AM
50171/09,12/6/2016 12:00:00 AM
46815/09,12/1/2016 12:00:00 AM
35132/05,11/22/2016 12:00:00 AM
4982/07,11/22/2016 12:00:00 AM
2458/12,11/15/2016 12:00:00 AM
22035/10,11/15/2016 12:00:00 AM
41896/08,11/15/2016 12:00:00 AM
16143/10,10/18/2016 12:00:00 AM
16408/10,10/18/2016 12:00:00 AM
65146/12,10/18/2016 12:00:00 AM
21107/07,10/18/2016 12:00:00 AM
81277/12,10/11/2016 12:00:00 AM
50059/11,10/11/2016 12:00:00 AM
69546/12,10/4/2016 12:00:00 AM
36618/06,10/4/2016 12:00:00 AM
26470/10,9/20/2016 12:00:00 AM
29483/09,9/13/2016 12:00:00 AM
58271/10,9/13/2016 12:00:00 AM
47384/11,9/13/2016 12:00:00 AM
41642/08,9/13/2016 12:00:00 AM
14344/13,9/6/2016 12:00:00 AM
18152/11,9/6/2016 12:00:00 AM
40860/04,9/6/2016 12:00:00 AM
34673/07,9/6/2016 12:00:00 AM
15225/08,9/6/2016 12:00:00 AM
40448/06,8/30/2016 12:00:00 AM
61170/09,8/30/2016 12:00:00 AM
17850/11,8/30/2016 12:00:00 AM
58112/09,7/12/2016 12:00:00 AM
42969/04,7/5/2016 12:00:00 AM
20347/07,7/5/2016 12:00:00 AM
39041/10,7/5/2016 12:00:00 AM
38287/06,6/21/2016 12:00:00 AM
35302/08,6/21/2016 12:00:00 AM
44695/09,6/21/2016 12:00:00 AM
61808/08,6/14/2016 12:00:00 AM
19602/06,6/7/2016 12:00:00 AM
33160/04,6/7/2016 12:00:00 AM
30083/10,6/7/2016 12:00:00 AM
26012/11,6/7/2016 12:00:00 AM
55835/09;55836/09;55839/09,5/31/2016 12:00:00 AM
40952/07,5/31/2016 12:00:00 AM
37203/05,5/31/2016 12:00:00 AM
44062/09;55832/09;55834/09;55841/09;55844/09,5/31/2016 12:00:00 AM
20184/06,5/31/2016 12:00:00 AM
12030/03,5/31/2016 12:00:00 AM
36915/10;8606/13,5/24/2016 12:00:00 AM
37273/10;38958/10;38963/10;38968/10;38973/10;38980/10;38991/10;38997/10;39004/10;39030/10;39032/10;39034/10;39037/10;39038/10;39042/10;39049/10;39052/10;45052/10,5/24/2016 12:00:00 AM
44023/09,5/24/2016 12:00:00 AM
37158/09,5/10/2016 12:00:00 AM
49867/08,5/10/2016 12:00:00 AM
12938/07,5/3/2016 12:00:00 AM
62649/10,4/26/2016 12:00:00 AM
19920/13,4/26/2016 12:00:00 AM
35872/08,4/26/2016 12:00:00 AM
2469/10,4/5/2016 12:00:00 AM
7459/04,3/29/2016 12:00:00 AM
646/10,3/22/2016 12:00:00 AM
66568/09,3/22/2016 12:00:00 AM
14895/05,3/8/2016 12:00:00 AM
55354/11,2/23/2016 12:00:00 AM
51500/08,2/23/2016 12:00:00 AM
29272/08,2/23/2016 12:00:00 AM
14777/08,2/9/2016 12:00:00 AM
25764/09;25773/09;25786/09;25793/09;25804/09;25811/09;25815/09;25928/09;25936/09;25944/09;26233/09;26242/09;26245/09;26249/09;26252/09;26254/09;26719/09;26726/09;27222/09,2/9/2016 12:00:00 AM
3648/04,2/2/2016 12:00:00 AM
18650/05,2/2/2016 12:00:00 AM
23497/05,2/2/2016 12:00:00 AM
2082/05,2/2/2016 12:00:00 AM
41465/09,2/2/2016 12:00:00 AM
22643/07,1/26/2016 12:00:00 AM
49085/07,1/19/2016 12:00:00 AM
17526/10,1/19/2016 12:00:00 AM
3840/10;3870/10;3878/10;15616/10;21919/10;37272/10;39118/10,1/12/2016 12:00:00 AM
20564/10,1/12/2016 12:00:00 AM
76476/12,12/15/2015 12:00:00 AM
35802/02,12/15/2015 12:00:00 AM
4947/04,12/15/2015 12:00:00 AM
48226/10;14027/11,12/1/2015 12:00:00 AM
26589/06,12/1/2015 12:00:00 AM
611/12,11/17/2015 12:00:00 AM
14350/05;15245/05;16051/05,11/17/2015 12:00:00 AM
22182/10,11/17/2015 12:00:00 AM
8077/08,11/10/2015 12:00:00 AM
47532/09,11/10/2015 12:00:00 AM
28226/04,11/10/2015 12:00:00 AM
23551/10,10/27/2015 12:00:00 AM
38062/08,10/20/2015 12:00:00 AM
34364/08,10/20/2015 12:00:00 AM
22931/09,10/20/2015 12:00:00 AM
36617/07,10/20/2015 12:00:00 AM
7505/06,10/13/2015 12:00:00 AM
37428/06,10/13/2015 12:00:00 AM
15450/03,10/6/2015 12:00:00 AM
17081/06,10/6/2015 12:00:00 AM
44227/04,10/6/2015 12:00:00 AM
22685/09;39472/09,9/22/2015 12:00:00 AM
27422/05,9/15/2015 12:00:00 AM
29680/05,9/15/2015 12:00:00 AM
41246/98,9/8/2015 12:00:00 AM
31833/06;37538/06,7/21/2015 12:00:00 AM
25774/09,7/21/2015 12:00:00 AM
40862/08,7/21/2015 12:00:00 AM
70396/11,7/21/2015 12:00:00 AM
41721/04,7/21/2015 12:00:00 AM
49640/07,7/16/2015 12:00:00 AM
40896/05,7/7/2015 12:00:00 AM
6341/10,7/7/2015 12:00:00 AM
32086/07,6/30/2015 12:00:00 AM
34823/05,6/23/2015 12:00:00 AM
15028/09,6/23/2015 12:00:00 AM
48628/12,6/23/2015 12:00:00 AM
44188/09,6/23/2015 12:00:00 AM
20620/10,6/23/2015 12:00:00 AM
48621/07,6/16/2015 12:00:00 AM
70026/10,6/16/2015 12:00:00 AM
56395/08;58241/08,6/9/2015 12:00:00 AM
13320/02,6/2/2015 12:00:00 AM
7152/08,5/26/2015 12:00:00 AM
25595/08;34252/10,5/26/2015 12:00:00 AM
36001/06,4/28/2015 12:00:00 AM
49742/09,4/28/2015 12:00:00 AM
34902/10,4/28/2015 12:00:00 AM
24014/05,4/14/2015 12:00:00 AM
36443/06,4/14/2015 12:00:00 AM
43044/05;45001/05,4/14/2015 12:00:00 AM
51962/12,3/31/2015 12:00:00 AM
19222/09,3/24/2015 12:00:00 AM
36807/07,3/24/2015 12:00:00 AM
29764/09;36297/09,3/24/2015 12:00:00 AM
58255/08;29725/09,3/17/2015 12:00:00 AM
4100/10,3/17/2015 12:00:00 AM
7524/06;39046/10,3/17/2015 12:00:00 AM
14793/08,3/10/2015 12:00:00 AM
48888/09,3/10/2015 12:00:00 AM
36812/07,2/24/2015 12:00:00 AM
2336/05,2/10/2015 12:00:00 AM
33037/07,2/3/2015 12:00:00 AM
24109/07,1/27/2015 12:00:00 AM
37715/11,1/27/2015 12:00:00 AM
7309/04,1/27/2015 12:00:00 AM
14946/08;21030/08;24309/08;24505/08;26964/08;26966/08;27088/08;27090/08;27092/08;38752/08;38778/08;38807/08,1/20/2015 12:00:00 AM
4789/10,1/20/2015 12:00:00 AM
53645/10,1/20/2015 12:00:00 AM
37308/05,1/13/2015 12:00:00 AM
23502/06,1/13/2015 12:00:00 AM
64969/10,12/16/2014 12:00:00 AM
44814/07,12/9/2014 12:00:00 AM
61960/08,12/2/2014 12:00:00 AM
31706/10;33088/10,12/2/2014 12:00:00 AM
54113/08,11/25/2014 12:00:00 AM
14674/11,11/25/2014 12:00:00 AM
15065/07,11/18/2014 12:00:00 AM
50388/06,11/18/2014 12:00:00 AM
3621/07,11/13/2014 12:00:00 AM
70945/10,11/13/2014 12:00:00 AM
34098/05,11/13/2014 12:00:00 AM
32211/07,11/13/2014 12:00:00 AM
24597/08,11/13/2014 12:00:00 AM
15048/09,10/28/2014 12:00:00 AM
25018/10,10/28/2014 12:00:00 AM
9540/07,10/21/2014 12:00:00 AM
72754/11,10/21/2014 12:00:00 AM
30518/11,10/21/2014 12:00:00 AM
47146/11,10/21/2014 12:00:00 AM
