APPNO,KPDATE
47287/15,11/21/2019 12:00:00 AM
11608/15,11/5/2019 12:00:00 AM
15428/16,10/8/2019 12:00:00 AM
65290/14,7/2/2019 12:00:00 AM
14165/16,6/13/2019 12:00:00 AM
70750/14,4/30/2019 12:00:00 AM
5294/14,1/29/2019 12:00:00 AM
11257/16,12/4/2018 12:00:00 AM
21623/13,10/16/2018 12:00:00 AM
60934/13,8/28/2018 12:00:00 AM
21786/15,6/26/2018 12:00:00 AM
27585/13,5/22/2018 12:00:00 AM
9114/16,3/6/2018 12:00:00 AM
51323/14,1/30/2018 12:00:00 AM
201/17,1/23/2018 12:00:00 AM
20487/13,1/23/2018 12:00:00 AM
66209/10,1/16/2018 12:00:00 AM
5769/11,11/21/2017 12:00:00 AM
45855/12,10/31/2017 12:00:00 AM
29609/16,10/10/2017 12:00:00 AM
58274/15,10/3/2017 12:00:00 AM
56665/09,9/14/2017 12:00:00 AM
78117/13,9/5/2017 12:00:00 AM
8271/15,7/18/2017 12:00:00 AM
58271/15,7/18/2017 12:00:00 AM
38647/09,5/30/2017 12:00:00 AM
54977/12;70945/11;23611/12;26998/12;41150/12;41155/12;41553/12;56581/12,4/25/2017 12:00:00 AM
73999/14,4/11/2017 12:00:00 AM
8263/15,3/7/2017 12:00:00 AM
10851/13,1/17/2017 12:00:00 AM
59588/12;59632/12;59865/12,1/17/2017 12:00:00 AM
53080/13,12/13/2016 12:00:00 AM
22254/14,11/22/2016 12:00:00 AM
18030/11,11/8/2016 12:00:00 AM
35493/13,11/8/2016 12:00:00 AM
50811/10,10/11/2016 12:00:00 AM
37871/14;73986/14,10/4/2016 12:00:00 AM
9912/15,7/5/2016 12:00:00 AM
50130/12,7/5/2016 12:00:00 AM
70945/11;23611/12;26998/12;41150/12;41155/12;41553/12;54977/12;56581/12,6/28/2016 12:00:00 AM
20261/12,6/23/2016 12:00:00 AM
42461/13;44357/13,5/17/2016 12:00:00 AM
64602/12,4/12/2016 12:00:00 AM
7871/10,4/5/2016 12:00:00 AM
22947/13,2/2/2016 12:00:00 AM
37138/14,1/12/2016 12:00:00 AM
57774/13,1/12/2016 12:00:00 AM
50255/12,1/5/2016 12:00:00 AM
41479/10,12/15/2015 12:00:00 AM
15529/12,10/20/2015 12:00:00 AM
11327/14;11613/14,10/13/2015 12:00:00 AM
62116/12,9/22/2015 12:00:00 AM
13312/12,7/21/2015 12:00:00 AM
48322/12,7/16/2015 12:00:00 AM
44753/12,7/16/2015 12:00:00 AM
14097/12;45135/12;73712/12;34001/13;44055/13;64586/13,3/10/2015 12:00:00 AM
66232/10,1/27/2015 12:00:00 AM
65681/13,1/13/2015 12:00:00 AM
51269/07,11/25/2014 12:00:00 AM
5493/13,10/28/2014 12:00:00 AM
73571/10,10/21/2014 12:00:00 AM
44473/06,10/21/2014 12:00:00 AM
14447/11,10/21/2014 12:00:00 AM
42461/13,9/16/2014 12:00:00 AM
44357/13,9/16/2014 12:00:00 AM
58171/09,9/16/2014 12:00:00 AM
17596/12,7/8/2014 12:00:00 AM
22840/07,6/3/2014 12:00:00 AM
73593/10,5/20/2014 12:00:00 AM
70945/11;23611/12;26998/12;41150/12;41155/12;41463/12;41553/12;54977/12;56581/12,4/8/2014 12:00:00 AM
33486/07,3/25/2014 12:00:00 AM
35364/09,3/25/2014 12:00:00 AM
62631/11,3/11/2014 12:00:00 AM
33529/11,2/11/2014 12:00:00 AM
35729/12,12/17/2013 12:00:00 AM
68435/10,12/10/2013 12:00:00 AM
64520/10,12/3/2013 12:00:00 AM
35943/10,7/9/2013 12:00:00 AM
41838/11,7/2/2013 12:00:00 AM
69095/10,7/2/2013 12:00:00 AM
49570/11,6/25/2013 12:00:00 AM
50474/08,6/18/2013 12:00:00 AM
20255/12,6/11/2013 12:00:00 AM
66529/11,5/14/2013 12:00:00 AM
59196/08,4/23/2013 12:00:00 AM
52624/10,4/23/2013 12:00:00 AM
33292/09,4/16/2013 12:00:00 AM
43888/08,3/19/2013 12:00:00 AM
29617/07,2/12/2013 12:00:00 AM
48494/06,2/12/2013 12:00:00 AM
50218/08,2/12/2013 12:00:00 AM
11146/11,1/29/2013 12:00:00 AM
19400/11,12/4/2012 12:00:00 AM
58050/08,11/27/2012 12:00:00 AM
28973/11,11/8/2012 12:00:00 AM
13058/11,10/23/2012 12:00:00 AM
13457/11,10/23/2012 12:00:00 AM
29723/11,10/9/2012 12:00:00 AM
41242/08,10/2/2012 12:00:00 AM
31373/11,9/25/2012 12:00:00 AM
40721/08,7/24/2012 12:00:00 AM
19554/11,7/10/2012 12:00:00 AM
34976/05,6/26/2012 12:00:00 AM
59214/11,6/26/2012 12:00:00 AM
26005/08;26160/08,6/12/2012 12:00:00 AM
57693/10,4/24/2012 12:00:00 AM
35127/08,1/17/2012 12:00:00 AM
30385/07,1/17/2012 12:00:00 AM
15707/10,1/17/2012 12:00:00 AM
19325/09,12/20/2011 12:00:00 AM
29459/10,11/3/2011 12:00:00 AM
11849/07,11/3/2011 12:00:00 AM
10816/10,9/20/2011 12:00:00 AM
6457/09,7/26/2011 12:00:00 AM
23954/10,7/19/2011 12:00:00 AM
12748/06,7/12/2011 12:00:00 AM
44686/07,6/28/2011 12:00:00 AM
29436/05,6/14/2011 12:00:00 AM
30042/08,6/7/2011 12:00:00 AM
30221/06,6/7/2011 12:00:00 AM
45407/05,5/17/2011 12:00:00 AM
32318/05,2/1/2011 12:00:00 AM
56282/09,1/25/2011 12:00:00 AM
5770/05,1/11/2011 12:00:00 AM
19547/07,1/11/2011 12:00:00 AM
7983/06,12/21/2010 12:00:00 AM
67545/09,12/14/2010 12:00:00 AM
17604/05,11/30/2010 12:00:00 AM
39382/06,11/30/2010 12:00:00 AM
2345/06,11/9/2010 12:00:00 AM
40381/05,11/2/2010 12:00:00 AM
33068/05,7/6/2010 12:00:00 AM
5417/06,6/29/2010 12:00:00 AM
31172/07,6/15/2010 12:00:00 AM
39138/05,6/15/2010 12:00:00 AM
14308/07,6/8/2010 12:00:00 AM
38832/06,5/20/2010 12:00:00 AM
46857/06,5/20/2010 12:00:00 AM
9269/08,3/30/2010 12:00:00 AM
38891/06,3/30/2010 12:00:00 AM
5380/07,12/1/2009 12:00:00 AM
25073/05,11/3/2009 12:00:00 AM
36739/05,11/3/2009 12:00:00 AM
5766/05,11/3/2009 12:00:00 AM
45392/05,11/3/2009 12:00:00 AM
15481/05,10/27/2009 12:00:00 AM
33552/05,10/27/2009 12:00:00 AM
26859/05,10/20/2009 12:00:00 AM
38904/05,10/20/2009 12:00:00 AM
26958/05,9/29/2009 12:00:00 AM
37376/05,9/29/2009 12:00:00 AM
19689/05,9/29/2009 12:00:00 AM
37214/05,6/30/2009 12:00:00 AM
3925/05,6/2/2009 12:00:00 AM
31475/05,5/26/2009 12:00:00 AM
39311/05,4/28/2009 12:00:00 AM
30789/05,4/28/2009 12:00:00 AM
25848/06,4/21/2009 12:00:00 AM
37374/05,4/14/2009 12:00:00 AM
30799/04,4/7/2009 12:00:00 AM
44399/05,3/31/2009 12:00:00 AM
13290/05,3/24/2009 12:00:00 AM
20075/05,3/24/2009 12:00:00 AM
41453/05,3/24/2009 12:00:00 AM
32069/05,2/24/2009 12:00:00 AM
12188/06,1/20/2009 12:00:00 AM
16054/06,1/20/2009 12:00:00 AM
15482/05,1/8/2009 12:00:00 AM
42260/05,1/8/2009 12:00:00 AM
30211/05,12/9/2008 12:00:00 AM
37470/06,12/9/2008 12:00:00 AM
15670/04,12/9/2008 12:00:00 AM
37501/06,12/9/2008 12:00:00 AM
21317/05,10/21/2008 12:00:00 AM
37509/06,10/21/2008 12:00:00 AM
3840/05,10/21/2008 12:00:00 AM
3261/05,10/14/2008 12:00:00 AM
7909/05,10/14/2008 12:00:00 AM
5482/05,10/14/2008 12:00:00 AM
10346/05,10/7/2008 12:00:00 AM
5529/05,10/7/2008 12:00:00 AM
5194/07,10/7/2008 12:00:00 AM
7060/05,10/7/2008 12:00:00 AM
31692/06,10/7/2008 12:00:00 AM
12935/05,10/7/2008 12:00:00 AM
9174/02,9/19/2008 12:00:00 AM
9286/04,7/22/2008 12:00:00 AM
16407/05,7/22/2008 12:00:00 AM
25648/06,7/22/2008 12:00:00 AM
33654/06,7/22/2008 12:00:00 AM
31802/04,7/17/2008 12:00:00 AM
8174/05,7/17/2008 12:00:00 AM
9077/05;10457/05,7/17/2008 12:00:00 AM
33629/06,7/8/2008 12:00:00 AM
44378/05,7/1/2008 12:00:00 AM
20280/04,7/1/2008 12:00:00 AM
7680/05,6/10/2008 12:00:00 AM
40360/04,5/27/2008 12:00:00 AM
42542/04,4/29/2008 12:00:00 AM
17623/04,4/1/2008 12:00:00 AM
25348/04;20014/04,3/27/2008 12:00:00 AM
14996/05,3/27/2008 12:00:00 AM
14276/04,3/27/2008 12:00:00 AM
1056/05,3/4/2008 12:00:00 AM
17628/04,2/5/2008 12:00:00 AM
44746/04,2/5/2008 12:00:00 AM
22736/04,2/5/2008 12:00:00 AM
44822/04,2/5/2008 12:00:00 AM
22671/04,1/29/2008 12:00:00 AM
34418/04,1/29/2008 12:00:00 AM
31754/04,1/29/2008 12:00:00 AM
37778/04,1/24/2008 12:00:00 AM
40354/04,11/27/2007 12:00:00 AM
1107/04,11/27/2007 12:00:00 AM
15509/05,11/27/2007 12:00:00 AM
44885/04,11/20/2007 12:00:00 AM
26958/04,10/30/2007 12:00:00 AM
44726/04,10/30/2007 12:00:00 AM
16412/05,10/30/2007 12:00:00 AM
14282/04,10/23/2007 12:00:00 AM
40431/04,10/23/2007 12:00:00 AM
23435/03,10/23/2007 12:00:00 AM
19478/03,10/23/2007 12:00:00 AM
22657/04,10/23/2007 12:00:00 AM
13647/04,10/9/2007 12:00:00 AM
