APPNO,KPDATE
20147/15,9/5/2019 12:00:00 AM
37023/13,5/23/2019 12:00:00 AM
8981/14,4/4/2019 12:00:00 AM
21497/14,12/13/2018 12:00:00 AM
68924/12,12/6/2018 12:00:00 AM
48327/09,11/22/2018 12:00:00 AM
49725/11;79950/13,11/8/2018 12:00:00 AM
65379/13,10/11/2018 12:00:00 AM
30491/17;31083/17,9/20/2018 12:00:00 AM
28475/14,5/31/2018 12:00:00 AM
36661/07;38433/07,4/12/2018 12:00:00 AM
75157/14,4/10/2018 12:00:00 AM
32045/10,4/5/2018 12:00:00 AM
58683/08,1/23/2018 12:00:00 AM
28481/12,1/18/2018 12:00:00 AM
77850/12,10/19/2017 12:00:00 AM
10947/11,7/4/2017 12:00:00 AM
34598/12,6/1/2017 12:00:00 AM
9635/13,6/1/2017 12:00:00 AM
48286/11,5/30/2017 12:00:00 AM
34458/03,3/21/2017 12:00:00 AM
36140/11,3/21/2017 12:00:00 AM
686/12,3/21/2017 12:00:00 AM
28768/12,2/7/2017 12:00:00 AM
59138/10,1/17/2017 12:00:00 AM
65937/11,1/17/2017 12:00:00 AM
32407/13,1/10/2017 12:00:00 AM
1955/10,1/10/2017 12:00:00 AM
56134/08,1/10/2017 12:00:00 AM
44436/13,10/4/2016 12:00:00 AM
2235/02,10/4/2016 12:00:00 AM
60975/08;35410/09,9/13/2016 12:00:00 AM
2171/14,7/19/2016 12:00:00 AM
49132/11,7/19/2016 12:00:00 AM
1799/07,7/5/2016 12:00:00 AM
26115/10,7/5/2016 12:00:00 AM
28623/12,6/28/2016 12:00:00 AM
6058/10,6/28/2016 12:00:00 AM
54511/11,6/28/2016 12:00:00 AM
31667/12,6/14/2016 12:00:00 AM
446/10,6/14/2016 12:00:00 AM
619/12,6/14/2016 12:00:00 AM
15487/08,5/24/2016 12:00:00 AM
29869/13,4/19/2016 12:00:00 AM
30813/14,3/1/2016 12:00:00 AM
6091/06;4047/07;4070/07,2/18/2016 12:00:00 AM
57292/12,2/16/2016 12:00:00 AM
5532/10,2/16/2016 12:00:00 AM
59285/12,1/12/2016 12:00:00 AM
653/12,1/12/2016 12:00:00 AM
5136/11,1/12/2016 12:00:00 AM
17249/12,12/15/2015 12:00:00 AM
32794/07,12/15/2015 12:00:00 AM
46797/08,12/8/2015 12:00:00 AM
48053/11,11/3/2015 12:00:00 AM
57675/10,11/3/2015 12:00:00 AM
99/12,11/3/2015 12:00:00 AM
8384/08,11/3/2015 12:00:00 AM
26860/11,10/6/2015 12:00:00 AM
21823/12,10/6/2015 12:00:00 AM
42689/09,9/15/2015 12:00:00 AM
14322/12,9/15/2015 12:00:00 AM
63777/09,7/21/2015 12:00:00 AM
